year,round,team_x,team_y,diff_seed,diff_bpi,diff_qual_win,diff_qual_loss,diff_qual_win_perc,diff_schdl_strength,diff_dist,location,team_x_win,team
2021,64,USC,Drake,-5,7,6,3,0.29,-112,1404.894809,"Indianapolis, IN",TRUE,USC
2021,64,Kansas,Eastern Washington,-11,8,8,6,0.47,-154,-1157.741112,"Indianapolis, IN",TRUE,Kansas
2021,64,Oregon,VCU,-3,3,3,0,0.17,-23,1416.253924,"Indianapolis, IN",TRUE,Oregon
2021,64,Iowa,Grand Canyon,-13,10.6,10,6,0.56,-209,-1185.153695,"Indianapolis, IN",TRUE,Iowa
2021,64,Michigan,Texas Southern,-15,19.2,13,0,0.81,-179,-669.4227045,"West Lafayette, IN",TRUE,Michigan
2021,64,LSU,St. Bonaventure,-1,1.3,6,6,0.14,-67,277.5830671,"West Lafayette, IN",TRUE,LSU
2021,64,Colorado,Georgetown,-7,6,1,-4,0.19,46,520.1993481,"Indianapolis, IN",TRUE,Colorado
2021,64,Florida State,UNC Greensboro,-9,7.3,9,4,0.64,-152,225.2114574,"Indianapolis, IN",TRUE,Florida State
2021,64,Brigham Young,UCLA,-5,-0.3,-5,-2,-0.29,50,-468.8765433,"Indianapolis, IN",FALSE,UCLA
2021,64,Texas,Abilene Christian,-11,6.6,8,4,0.31,-199,15.43068217,"Indianapolis, IN",FALSE,Abilene Christian
2021,64,UConn,Maryland,-3,2.8,-3,-7,-0.03,39,228.7899626,"West Lafayette, IN",FALSE,Maryland
2021,64,Alabama,Iona,-13,12.9,9,3,0.64,-211,-189.6691452,"West Lafayette, IN",TRUE,Alabama
2021,64,Baylor,Hartford,-15,21.2,14,-1,0.88,-125,122.5343895,"Indianapolis, IN",TRUE,Baylor
2021,64,North Carolina,Wisconsin,-1,-1.5,-1,-2,0.01,17,186.5782036,"Indianapolis, IN",FALSE,Wisconsin
2021,64,Villanova,Winthrop,-7,9.3,5,2,0.63,-260,136.1629998,"Indianapolis, IN",TRUE,Villanova
2021,64,Purdue,North Texas,-9,4.4,7,3,0.33,-88,-698.6408388,"Indianapolis, IN",FALSE,North Texas
